STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
1468;Freudenstadt;797;48.4537;8.4091;96.29;90.29;96.46;88.25;74.92;45.46;92.04;90.54;92.58;91.33;89.08;69.29;45.29;90.75;71.63;90.46;95.04;91.96;92.88;95;96.88;96.08;96.21;94;91.67;94.38;91.54;94.63;93.54;93.54;91.08
7395;Gottfrieding;350;48.6596;12.5388;94.58;95.25;92.75;87.54;82.13;90.46;97.29;94.29;80.5;77.75;85.13;77.58;90;85.13;92.33;93.75;96.25;93.42;86.33;95.63;90.79;93.33;95.08;88.33;87.88;92.83;90.67;85.42;84.96;83.71;86.08
5064;Tönisvorst;37;51.2898;6.4443;84.38;78.96;90.58;91.38;88.71;85.63;89.75;93.21;88.29;81.17;76.92;79.38;79.67;84.21;78.33;80.04;86.5;76.88;91.71;87.54;78.08;86.13;91.21;92.46;96.88;96.08;92.71;87.54;82.92;90.13;88.63
7396;Hoherodskopf/Vogelsberg;743;50.5084;9.2247;100;100;100;100;100;100;100;100;99.75;97.08;95.13;99.83;82.96;100;90.63;99.88;100;99.92;;;;100;100;99.96;100;100;100;100;100;100;100
991;Dippoldiswalde-Reinberg;365;50.9169;13.713;93.04;79.92;80.92;90.42;95.83;92.75;90.13;87.21;79.88;82.54;77.33;79.75;61.46;74.42;72.75;77.33;96.88;93.33;91.71;92.54;93.42;99.63;100;94.04;98.5;90.13;96.63;86.13;79.29;82.67;83.79
2708;Kohlgrub, Bad (Rosshof);740;47.6652;11.0804;95.04;90.71;88.96;88;77.13;77.83;81.88;79.83;67.17;56.58;81.21;53.83;56.63;73.38;83.83;58.17;96.42;98.5;93.79;91.96;96.92;97.75;96;92.38;91.42;90.83;94.04;88.71;94.38;76.58;79.83
7393;Hoyerswerda;116;51.4493;14.2533;89.67;76.13;74.5;80.96;93.83;91.71;87.25;86.5;77.54;80.29;74.25;77.33;54.71;71.92;72.46;72.38;92.5;88;89.96;87.04;85.54;94.54;95.88;88.5;94.42;87.38;92.96;82.13;72.29;77.88;84.71
5149;Gollhofen;308;49.5742;10.1916;98.58;93.33;95.63;89.92;86.67;94.83;95.92;89.38;86.75;87.54;71.17;74.79;52.88;84.71;72.54;87.13;95;88.79;84.63;95.5;92.04;92.63;91.46;90.38;94.17;95.67;94.21;88.92;86.29;88.88;89.71
5146;Uelzen;50;52.9413;10.5287;86.54;75.92;80.79;90.13;93.29;87;94.08;94.71;85.33;84.63;87.79;94.75;95.25;90.75;85.67;72.33;85.5;90.96;94.67;98.71;99.96;92.92;88.33;87.75;96.21;95.63;87.92;87.75;85.21;95.92;94.46
2704;Köthen (Anhalt);76;51.7515;12.0079;88.92;75.63;77.33;87.29;82.21;89.17;86.29;90.25;75.96;78.96;70.54;80.25;66.17;77.96;76.83;83.17;92.71;89.08;99.29;99.83;91.92;93.25;97.83;89.13;97.46;95.17;87.79;83.63;79.67;94.5;92.21
5142;Ueckermünde;1;53.7444;14.0697;81.67;74.29;82.46;79.58;95.25;89.08;86.92;91.13;80.33;81.38;81.67;88.17;84.13;81.46;85.46;71.92;86.29;90.83;94.29;93.58;96.08;93.58;95.63;87.29;93.67;93.17;89.25;88.79;82.5;96.42;95.96
2700;Kösching;417;48.8301;11.4872;99.33;97.92;97.33;92.29;89.04;87.38;96.75;94.79;90.83;83.58;86.75;81.54;71.33;83.92;92.13;88.75;97.5;94.42;90.29;97.63;92.42;94.13;95.46;91.58;92.46;94.33;96.33;91.83;89.96;95.17;93.33
4887;Stötten;734;48.6657;9.8646;97.83;90.29;97.96;97.67;69.83;39.54;95.29;90.25;82.13;81.71;92.71;66.17;47.08;79.38;74.75;77.04;99.83;94.25;93.38;97.5;96.75;98.33;99.13;97.71;98.04;96.88;99.58;96.08;91.25;92.71;88.25
3402;Münsingen-Apfelstetten;750;48.3851;9.4837;100;99.25;99.17;91.83;84.13;69.83;92.08;96.46;86.79;79.5;92.25;73.88;58.75;88.75;88.08;84.04;99.25;98.71;98.21;98.63;99.58;100;100;98.79;96.83;97.17;96.08;95.46;96.04;93.33;88.71
125;Altenstadt;756;47.8342;10.8667;93.29;85.54;93.13;88.5;;;78.54;71.75;77;73.96;90.29;60.92;40.92;78.5;82.38;79.21;96.92;95.92;94.27;95.13;93.79;97.96;94.96;92.04;88.88;82.83;90.83;84.33;89.13;84.25;79.58
5078;Travemünde;2;53.9619;10.8892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6312;Markt Erlbach-Mosbach;362;49.5314;10.6418;99.54;95.71;95.92;93.08;90.79;92.79;97.54;92.54;85.63;87.75;75.25;73.92;54.5;85.88;78.92;82.75;96.38;93.54;87.88;96.33;92.46;93.58;89.04;89.58;95.75;94.96;95.17;89.67;86.63;92.29;90.63
2410;Ingolstadt (Flugplatz);364;48.7112;11.5362;95.38;94.08;94.13;84.96;83.13;87.67;95.33;87.54;81;74.92;83.5;73.63;78.54;76.96;89.25;91.92;96.46;92.04;89.25;96.96;90.04;91.25;94.96;86.42;88.88;90.83;93.5;85.88;85.46;85.83;83.08
6259;Großerlach-Mannenweiler;523;49.021;9.6032;100;100;100;98.5;86.71;53.38;99.04;94.54;87.75;87.5;90.08;72.71;44.79;89.58;70.79;87.46;99.79;93.83;91.96;98.67;96.04;97.17;99.58;97.42;98;100;99.58;94.75;92.71;97.46;98
6258;Friedrichshafen-Unterraderach;459;47.6845;9.4409;93.42;98.25;97.67;85;89.88;99.5;97.42;84.46;79.83;73.46;84.38;71.08;64.75;83.04;78.83;86.67;99.58;94.42;90.5;97.21;89.75;90.29;89.54;88.63;90.79;93.54;94.88;84.75;95.5;82.88;79.13
410;Berlin-Kaniswall;33;52.404;13.7309;89.83;78.25;72.79;78.08;94.25;96.88;95.54;92.83;82.25;82.5;77.5;86.46;66.33;81.08;80.75;75.38;95.25;93.96;97.83;97.75;97.58;95;89.88;89.54;93.38;90.71;88.08;86.38;80.42;94.54;95.5
6314;Nossen;308;51.0507;13.3008;91.17;77.63;80.25;87.42;89.13;84.96;85.08;84.54;76.08;79.46;71.54;75.25;54.54;73.42;67.29;65.92;90.08;82.13;84;88;88.5;97;98.29;92.38;96.5;89.25;93.79;82.17;73.42;80.63;82.42
5424;Weimar-Schöndorf;325;51.0179;11.3542;92.04;82.88;84.67;88.13;86.63;80.83;86.25;87.71;78.42;78.75;78.29;77.96;64.5;79.63;75.08;83.88;91.67;83.88;90.71;99.04;96.21;99.58;100;95.58;94.75;94.38;89.42;85.83;84.58;87.88;84.96
2796;Laage (Flugplatz);40;53.9156;12.279;84.71;77.08;80.75;79.88;95;95.92;90.79;92.04;79.48;82.63;85.38;89.29;93.5;89.71;87.17;72.83;83.67;85.17;89.38;95.13;94.42;98.92;87.33;85.58;94.38;97.67;87.42;91.54;84.96;96.25;89.75
2794;Kyritz;40;52.9363;12.4093;86.08;78.04;79.13;80.83;90.46;96;92.5;93.08;82.38;81.63;81.08;91;81.42;82.25;83.79;79.92;86.71;92.5;94.17;95.25;95.75;93.75;86.71;86.5;97.92;96.21;84.71;89.5;86.33;97.63;92.75
13696;Waltrop-Abdinghof;68;51.5968;7.4048;82.79;74.21;87.88;88.79;88;79.38;88.96;91;84.75;78.5;76.5;79.83;81.58;81.33;79.83;77.29;87.38;77.96;92.5;89;79.63;86.17;86.96;93.88;96.75;95.29;91.67;85.75;81;94.63;91.63
5397;Weiden;440;49.6663;12.1845;99.13;95.83;92.67;91.46;87.25;88.63;95.92;94.96;87;88.79;74.92;78.13;55.67;82.75;78.17;80.38;96.54;95.54;85.58;92.67;86.17;87.79;87.04;85.25;89.42;95.96;92.92;90.21;85.08;92.63;92.08
3821;Osterfeld;246;51.0873;11.9292;90.71;79.42;80.13;89.88;85;77.67;85.21;86.58;75.42;77.21;75.54;75.88;61.04;76.67;73.08;82.46;92.29;84.75;84.46;96.83;90.13;98.13;99.83;90.42;93.67;94.58;89.83;84.17;79.21;86.92;83.42
3946;Plauen;386;50.4819;12.13;92.79;84.83;84;82.79;76.92;82.21;85.33;86.71;77.71;79.54;73;77.83;55.17;77.13;73.17;69.21;92.96;89.88;86.25;88.88;89.21;96.08;95.29;86.92;89.58;92.21;84.42;85.42;82.96;86.04;82.88
314;Kubschütz, Kr. Bautzen;232;51.1605;14.5037;86.88;82.54;74.42;87.13;96.17;90;84;86.42;78.42;84.04;74.17;75.96;58.13;68.83;73.21;73.29;89.83;84.71;84.29;83.46;92.38;98.17;99.46;91.17;96.71;86.75;95.79;84.83;74.92;77.29;77.54
3271;Metten;313;48.8548;12.9187;97.83;95.29;97.88;93.83;90.21;93.25;97.21;97.29;96.54;83.17;81.63;82.33;88.96;92.96;92.58;94.92;97.75;94.33;89.25;93.42;89.5;93.08;97.88;88.42;85.79;97;96.25;93.08;91.79;89;93.71
3278;Metzingen;355;48.5376;9.2733;94.29;91.17;94.83;84;79.75;80.21;83.54;80.04;75.54;72.5;82.25;63.5;50.42;76.21;59.38;80;95;93.21;91.17;97.54;83.71;85.42;95.42;89.75;89.21;90.33;89.38;77.96;77;82.29;79
7368;Eisenach;312;51.0007;10.3621;95.04;86.21;88.58;83.13;83.21;84.79;89.88;89.83;80.96;80.25;73.63;84.13;65.58;81.58;74.21;85.71;87.88;80.96;92.38;95.08;93.83;95.08;91.71;91.25;92.46;93.92;87.42;86.58;84;90.67;87.46
5099;Trier-Zewen;132;49.7326;6.6131;94.04;92.33;96.25;90.92;99.04;96.58;91.63;89.42;84.25;80.04;68.96;74.79;68.92;82.46;74.79;87.29;87.63;84.88;93.08;85.33;83.54;77.04;82.08;90.75;95.29;96.96;86.54;86.75;88.17;85.92;88.29
4280;Roth;385;49.2164;11.1036;99.92;97.17;95.25;92.04;86.13;87.75;97.21;92.33;84.92;81.33;76.17;71.71;55.67;73.25;76.29;78;98;94;89.46;98.08;91.71;95.67;93.54;87.71;93.33;92.33;96.33;88.67;86.08;94.08;91.5
4287;Rothenburg ob der Tauber;415;49.3847;10.1732;99.67;96.58;97.08;92.71;88.17;88.79;97.08;93.04;86.54;88.96;75.08;72.71;49.96;84;77.67;85.54;96.46;91.54;85.21;98.21;93.46;95.79;96.67;92.46;95.54;97.75;95.79;92.33;89.75;92.92;90.13
3571;Neustadt am Kulm-Filchendorf;452;49.8174;11.8638;99;96.38;94.08;92.58;90.96;94.25;97.92;96.04;88.13;88.58;75.46;80.75;64.33;84;88.17;83.58;95.83;94.38;90.83;94.29;87.75;89.63;89.21;88.83;93.54;96.92;92.46;93.17;88.96;96.54;96.17
5097;Tribsees;10;54.0661;12.7675;89.71;81.63;87.38;84.63;98.17;98;95.04;95.46;83.71;85.88;86.33;92.83;95.13;90.79;90.75;77.54;87.79;90.29;96.54;99.83;98.88;100;95.46;90.04;98;99.38;91.54;94.58;90.42;99.17;97.75
2667;Köln-Bonn;92;50.8646;7.1575;91.88;80.33;89.42;91.58;84.25;80.83;87.42;91.54;80.88;75.33;73.67;74.63;71.58;83.38;71.96;79.04;83.92;76.5;85.92;90.67;75.42;78.79;83.33;95.21;97.75;95.75;91.79;83.58;79.21;84.75;79.71
7431;Oberhaching-Laufzorn;604;48.0131;11.5525;96.17;93.17;93.54;87.79;80.67;87.58;90.46;79.5;75.96;68.63;86.13;54.88;59.54;78.96;93.08;91.58;97.33;97.67;94.33;97.71;95.25;97.96;97.29;94.13;93.58;89.42;99.13;93.54;93.04;87.21;86.58
368;Bergen;70;52.8152;9.9248;83.14;76.21;81.96;89.54;90.92;86.5;92.17;93.42;84.58;84.08;82.79;91.17;90.38;86.88;82.83;74.79;88.13;89.46;93.42;96.04;97.5;89.33;86.92;91.96;99.04;98.5;93.33;90.92;86.25;98.29;97.04
5275;Waghäusel-Kirrlach;105;49.2447;8.5373;93.46;91.96;97.71;88.5;90.5;96.83;93.67;90.25;85.33;87.38;68.58;62.5;52.21;82.17;75.63;93;97.58;98.33;99.54;97.63;88.58;83.58;87.42;92.92;93.83;96.92;90.46;85.58;88.17;90.88;92.21
2932;Leipzig/Halle;131;51.4348;12.2396;93.21;83.29;80.92;85.5;85.54;81.46;87.58;88.83;78.67;78.83;77.79;76;60.04;78.38;72.42;79.42;92.21;86.46;91.63;96.63;86.29;95.63;97.75;90.96;95.13;94.08;85.29;82.79;79.38;91.75;89.25
3319;Röllbach;239;49.7645;9.2531;98.54;90.88;93.96;87.46;86.33;96.54;95.17;89.67;82.25;82;68.17;75.96;59.25;80.5;74.5;92.17;93;94.08;93.04;94.71;89.33;88.25;93.96;96;94.42;96.08;91.33;89.21;88.58;92.21;89.5
6170;Coschen;40;52.0192;14.7254;90.63;81.63;71.42;77.33;92.13;93.21;91.88;90.46;80.96;82.58;74.5;84.92;61.54;74.88;77.5;71.17;92.17;94.21;94.96;91.5;94.63;95.75;96.79;92.75;93.96;92.08;92.25;84.04;80.08;87.25;88.17
5480;Werl;85;51.5765;7.888;78.42;72.42;84.75;85.17;81.33;75.67;86.04;85.42;82;76.54;73.58;78.04;76.08;78.92;73.63;75.17;82.79;72.04;86.38;89.25;79.17;82.71;83.13;91;92.63;90.63;89.29;81.38;79.92;91.17;88.5
1645;Gilserberg-Moischeid;340;50.9656;9.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
