STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
2704;Köthen (Anhalt);76;51.7515;12.0079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5142;Ueckermünde;1;53.7444;14.0697;0;0.83;0;2.56;0;4.53;0.2;0;0.21;0;1.08;0;0.21;0.76;0;4.81;1.01;3.48;0;0;0;0.55;0.41;0;0.33;0;0;0;2.4;0;0
2700;Kösching;417;48.8301;11.4872;0;0.16;0;0;3.73;5.8;0;0;0;3.5;1.61;0;8.2;0.15;0.48;0.25;0;0.33;1.25;0;0.45;0;0;0;0.53;0.78;0.95;0.05;3.28;0.35;5.2
4887;Stötten;734;48.6657;9.8646;0;0.41;0.11;0;7.5;6.01;0.48;0;0;1.7;0.3;2.11;7.76;0.16;0;0;0;2.78;2.23;0;0;0;0;0;0;0.18;0;0.46;1.73;0.61;3.45
3402;Münsingen-Apfelstetten;750;48.3851;9.4837;0;0.06;0;0.31;7;5.95;1.58;0;0.01;3.58;0.23;4;7.51;0.13;0;0.06;0;0;0.41;0;0;0;0;0;0.01;0;0.16;0;0.45;0.8;4.56
125;Altenstadt;756;47.8342;10.8667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5078;Travemünde;2;53.9619;10.8892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6312;Markt Erlbach-Mosbach;362;49.5314;10.6418;0;0;0;0.05;6.75;5.18;0;0;0;0.75;1.08;0;7.56;0.05;0;0.21;0;5.18;2.68;0;0;0;0;0;0.03;0;0.33;0.1;0.31;1.05;0.08
2410;Ingolstadt (Flugplatz);364;48.7112;11.5362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6259;Großerlach-Mannenweiler;523;49.021;9.6032;0;0;0;0.06;6.93;6.51;0;0;0;0.3;0.23;0.28;7.26;0.3;0.05;0;0;5.48;4.45;0;0;0;0;0;0;0;0;0.2;2.13;0.65;0.16
6258;Friedrichshafen-Unterraderach;459;47.6845;9.4409;6.08;0.08;0;1.75;7.86;0;2.21;0.13;0;5.45;0.6;1.83;8.13;0.03;3.83;0.85;0;2.15;2.78;0;4.21;0;0;0;0.31;0.11;0.85;1.45;0;0.23;3.6
410;Berlin-Kaniswall;33;52.404;13.7309;4.08;0.01;0;0.56;0;0;0.16;0;0;0;0;0;3.43;2.95;0;0.53;0.78;6.85;0;0;0;0;0;0;0;0.03;0;1.06;2.96;0;1
6314;Nossen;308;51.0507;13.3008;5.1;0;0;0.11;0;5.91;0;0;0;0.83;0.48;0;7.63;3.41;0.06;0.31;0;7.46;0;0;1.08;0;0;0.25;0;2.6;0;2.28;4.38;0.2;0.01
